City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
216,Namtsy,RU,62.7161,129.6658,23.27,88,100,5.75,overcast clouds
217,Tchaourou,BJ,8.8865,2.5975,76.98,71,43,5.82,scattered clouds
218,Alice Springs,AU,-23.7,133.8833,80.15,14,0,10.36,clear sky
219,Vallenar,CL,-28.5708,-70.7581,65.66,50,0,1.43,clear sky
220,Thaton,MM,16.9206,97.3714,83.19,48,77,6.35,broken clouds
221,Okato,NZ,-39.2,173.8833,65.68,60,5,4.74,clear sky
222,Ovalle,CL,-30.5983,-71.2003,67.01,61,58,2.26,broken clouds
223,Rawson,AR,-43.3002,-65.1023,57.92,40,6,18.86,clear sky
224,Olafsvik,IS,64.8945,-23.7142,32.9,77,96,20.04,overcast clouds
225,Aosta,IT,45.7667,7.4167,27.91,83,19,2.21,few clouds
226,Lengnau,CH,47.1838,7.3737,31.66,86,75,2.3,broken clouds
227,Homer,US,59.6425,-151.5483,39.07,83,100,5.75,light snow
228,Lorengau,PG,-2.0226,147.2712,84.67,69,83,5.5,broken clouds
229,Drayton Valley,CA,53.2168,-114.9854,42.26,54,0,6.53,clear sky
230,Nybro,SE,56.7446,15.9071,38.05,96,100,11.48,overcast clouds
231,Provideniya,RU,64.3833,-173.3,10.51,67,0,15.99,clear sky
232,Lapua,FI,62.9693,23.0088,27.46,97,100,3.83,light snow
233,Cabo San Lucas,MX,22.8909,-109.9124,71.51,66,54,5.01,broken clouds
234,Malakal,SS,9.5334,31.6605,84.56,39,27,3.98,scattered clouds
235,Port Lincoln,AU,-34.7333,135.8667,68.49,59,10,6.31,clear sky
236,Torbat-E Jam,IR,35.244,60.6225,62.26,23,6,0.54,clear sky
237,Liverpool,GB,53.4106,-2.9779,47.79,94,100,11.5,light rain
238,Tiarei,PF,-17.5333,-149.3333,86.02,75,78,11.12,broken clouds
239,Sao Sebastiao,BR,-23.76,-45.4097,73.54,93,26,5.19,scattered clouds
240,Tautira,PF,-17.7333,-149.15,82.63,74,21,13.15,few clouds
241,Vila Franca Do Campo,PT,37.7167,-25.4333,57.61,70,71,14.2,broken clouds
242,Calvinia,ZA,-31.4707,19.776,50.52,82,0,6.69,clear sky
243,Niquero,CU,20.0431,-77.5828,77.99,78,5,4.63,clear sky
244,Cuamba,MZ,-14.8031,36.5372,66.79,98,20,1.57,light rain
245,Santiago Del Estero,AR,-27.7951,-64.2615,69.71,55,0,6.26,clear sky
246,Luderitz,NA,-26.6481,15.1594,58.06,87,0,4.25,clear sky
247,Kochi,IN,9.9399,76.2602,75.18,89,22,4.97,few clouds
248,Mar Del Plata,AR,-38.0023,-57.5575,55.42,60,0,14.97,clear sky
249,Coahuayana,MX,18.7333,-103.6833,68.4,91,10,2.68,clear sky
250,La Trinite,MQ,14.7376,-60.9629,77.05,33,20,9.22,few clouds
251,Tadine,NC,-21.55,167.8833,83.59,74,100,11.41,overcast clouds
252,Palmer,US,42.1584,-72.3287,40.86,82,100,10.36,light rain
253,Yabrud,SY,33.9674,36.6574,51.13,28,43,4.92,scattered clouds
254,Ixtapa,MX,20.7,-105.2,66.65,89,12,1.25,few clouds
255,Saint-Leu,RE,-21.15,55.2833,76.03,81,90,3.83,overcast clouds
256,Namatanai,PG,-3.6667,152.4333,84.56,71,99,7.2,light rain
257,Bambous Virieux,MU,-20.3428,57.7575,79.21,83,40,11.5,light rain
258,Redmond,US,47.674,-122.1215,53.53,80,100,8.01,light rain
259,Balikpapan,ID,-1.2675,116.8289,83.39,89,0,3.44,clear sky
260,Marystown,CA,47.1666,-55.1483,32.86,100,36,10.0,scattered clouds
261,Iqaluit,CA,63.7506,-68.5145,19.13,79,75,11.5,broken clouds
262,Vao,NC,-22.6667,167.4833,79.32,85,60,14.56,broken clouds
263,Lidice,PA,8.75,-79.9,77.4,45,100,9.53,overcast clouds
