City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
560,Robertsport,LR,78.33,broken clouds,6.7533,-11.3686,Kwepunha Retreat
562,Sola,VU,81.41,overcast clouds,-13.8833,167.55,Leumerus Bungalows
567,Mandera,KE,81.48,broken clouds,3.9366,41.867,Hiren Hotel Mandera
569,Curumani,CO,75.99,overcast clouds,9.1999,-73.5427,Hotel Mayumir
572,Lodwar,KE,83.19,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
578,Cockburn Town,TC,78.33,clear sky,21.4612,-71.1419,Osprey Beach Hotel
587,Mangoso,PH,82.11,overcast clouds,11.4175,122.6382,Lyndon F. Alayon
593,Kieta,PG,83.61,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
595,Mahibadhoo,MV,83.08,scattered clouds,3.7833,72.9667,Omadhoo Inn
600,Port Augusta,AU,76.95,clear sky,-32.5,137.7667,Majestic Oasis Apartments
601,San Lorenzo,PY,76.93,overcast clouds,-25.3333,-57.5333,Canarias Hotel
606,Kumbhraj,IN,81.99,clear sky,24.3667,77.05,Shubhodye Nebas
617,Geraldton,AU,75.61,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
618,Inhambane,MZ,75.22,clear sky,-23.865,35.3833,Oceano
634,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
635,Porbandar,IN,77.68,clear sky,21.6422,69.6093,Lords Inn Porbandar
637,Bom Jesus,BR,79.56,overcast clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
642,Hervey Bay,AU,82.02,clear sky,-25.2986,152.8535,Shelly Bay Resort
643,Samarai,PG,82.76,overcast clouds,-10.6167,150.6667,Nuli Sapi
644,Isla Mujeres,MX,80.17,broken clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
646,Meulaboh,ID,78.06,overcast clouds,4.1363,96.1285,Kost Pria
650,Davila,PH,77.83,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
656,Sibolga,ID,82.42,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
657,Olinda,BR,83.93,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
659,Iracoubo,GF,77.23,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
663,Neiafu,TO,82.42,overcast clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
665,Bagamoyo,TZ,76.08,light rain,-6.4333,38.9,Be Swahilid B and B
671,Mana,GF,77.14,overcast clouds,5.6592,-53.7767,LE SAMANA
680,Pyapon,MM,82.62,overcast clouds,16.2833,95.6833,Aung Naing Thu Motel
692,Luanda,AO,75.2,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
694,Ballina,AU,77.77,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
